CODE,SHORT DESCRIPTION (VALID ICD-10 FY2026),LONG DESCRIPTION (VALID ICD-10 FY2026),NF EXCL
C470,"Malignant neoplasm of prph nerves of head, face and neck","Malignant neoplasm of peripheral nerves of head, face and neck",
C4710,"Malig neoplm of prph nerves of unsp upper limb, inc shoulder","Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder",
C4711,"Malig neoplm of prph nerves of right upper limb, inc shldr","Malignant neoplasm of peripheral nerves of right upper limb, including shoulder",
C4712,"Malig neoplm of prph nerves of left upper limb, inc shoulder","Malignant neoplasm of peripheral nerves of left upper limb, including shoulder",
C4720,"Malig neoplasm of prph nerves of unsp lower limb, inc hip","Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip",
C4721,"Malig neoplasm of prph nerves of right lower limb, inc hip","Malignant neoplasm of peripheral nerves of right lower limb, including hip",
C4722,"Malig neoplasm of prph nerves of left lower limb, inc hip","Malignant neoplasm of peripheral nerves of left lower limb, including hip",
C473,Malignant neoplasm of peripheral nerves of thorax,Malignant neoplasm of peripheral nerves of thorax,
C474,Malignant neoplasm of peripheral nerves of abdomen,Malignant neoplasm of peripheral nerves of abdomen,
C475,Malignant neoplasm of peripheral nerves of pelvis,Malignant neoplasm of peripheral nerves of pelvis,
C476,"Malignant neoplasm of peripheral nerves of trunk, unsp","Malignant neoplasm of peripheral nerves of trunk, unspecified",
C478,Malig neoplm of ovrlp sites of prph nrv and autonm nrv sys,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system,
C479,"Malig neoplasm of prph nerves and autonm nervous sys, unsp","Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",
C480,Malignant neoplasm of retroperitoneum,Malignant neoplasm of retroperitoneum,
C481,Malignant neoplasm of specified parts of peritoneum,Malignant neoplasm of specified parts of peritoneum,
C482,"Malignant neoplasm of peritoneum, unspecified","Malignant neoplasm of peritoneum, unspecified",
C488,Malig neoplasm of ovrlp sites of retroperiton and peritoneum,Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum,
C490,"Malig neoplm of conn and soft tissue of head, face and neck","Malignant neoplasm of connective and soft tissue of head, face and neck",
